

# C       Plain Go   Go Revel   Nodejs express  Silicon

1         21930      15000      11000           44000
10        90530      69000      32000           193000
50        138000     102000     33000           271000
100       152000     106000     33000           255000
200       157000     109000     37000           192000
300       151000     109000     31000           159000
400       148000     107000     34000           142000
500       145000     104000     36000           136000
600       142000     102000     37000           132000
700       138000     107000     36000           128000
800       139000     107000     27000           127000
900       136000     102000     37000           126000
1000      136000     100000     27000           126000
