

# C       Go Revel   Nodejs express  Silicon

1         63         93              19.6
10        146        316             52
50        509        1590            158
100       999        3210            277
200       1970       5540            680
300       2680       8170            1250
400       4030       8790            1670
500       5060       10290           2190
600       6190       12360           2760
700       5570       12110           3200
800       5120       18910           3920
900       7590       14410           4070
1000      9960       21500           4590
